City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
183,Chuy,UY,2020-05-09 19:43:07,-33.7,-53.46,63.93,58,82,6.76,broken clouds,0.0,0.0
184,Comodoro Rivadavia,AR,2020-05-09 19:39:26,-45.87,-67.5,60.8,51,75,18.34,broken clouds,0.0,0.0
185,Saint-Philippe,RE,2020-05-09 19:43:07,-21.36,55.77,71.6,78,20,5.82,few clouds,0.0,0.0
186,Kailahun,SL,2020-05-09 19:43:07,8.28,-10.57,75.09,94,100,4.65,moderate rain,0.0,0.0
187,Vila Velha,BR,2020-05-09 19:43:08,-20.33,-40.29,73.4,64,75,9.17,broken clouds,0.0,0.0
188,Yeppoon,AU,2020-05-09 19:43:08,-23.13,150.73,57.2,93,90,4.61,overcast clouds,0.0,0.0
189,Bucak,TR,2020-05-09 19:43:08,37.46,30.59,68.0,58,0,4.7,clear sky,0.0,0.0
190,Sioux Lookout,CA,2020-05-09 19:43:08,50.1,-91.92,39.2,51,75,11.41,broken clouds,0.0,0.0
191,Katsuura,JP,2020-05-09 19:43:08,35.13,140.3,66.0,92,97,8.99,overcast clouds,0.0,0.0
192,Emerald,AU,2020-05-09 19:43:09,-23.53,148.17,59.0,82,3,2.82,clear sky,0.0,0.0
193,Quatre Cocos,MU,2020-05-09 19:38:12,-20.21,57.76,75.2,83,75,9.17,shower rain,0.0,0.0
194,Kirando,TZ,2020-05-09 19:43:09,-7.42,30.6,76.1,68,95,6.49,overcast clouds,0.0,0.0
195,Port Hardy,CA,2020-05-09 19:43:10,50.7,-127.42,60.8,51,75,4.81,broken clouds,0.0,0.0
196,Airai,TL,2020-05-09 19:43:10,-8.93,125.41,56.91,100,94,3.18,overcast clouds,0.0,0.0
197,Liverpool,GB,2020-05-09 19:43:10,53.41,-2.98,66.2,52,34,12.75,scattered clouds,0.0,0.0
198,Inta,RU,2020-05-09 19:43:10,66.03,60.17,42.22,75,100,4.56,overcast clouds,0.0,0.0
199,Winnetka,US,2020-05-09 19:39:29,42.11,-87.74,57.99,22,1,16.11,clear sky,0.0,0.0
200,Ust-Nera,RU,2020-05-09 19:43:11,64.57,143.2,25.36,91,74,6.13,broken clouds,0.0,0.0
201,Tupi Paulista,BR,2020-05-09 19:43:11,-21.38,-51.57,76.24,56,0,3.69,clear sky,0.0,0.0
202,Basco,PH,2020-05-09 19:43:11,20.45,121.97,82.44,77,98,8.55,overcast clouds,0.0,0.0
203,Asau,RO,2020-05-09 19:43:12,46.43,26.4,50.0,82,84,1.54,broken clouds,0.0,0.0
204,Camana,PE,2020-05-09 19:43:12,-16.62,-72.71,69.64,70,56,7.2,broken clouds,0.0,0.0
205,Chernyshevskiy,RU,2020-05-09 19:43:12,63.01,112.47,35.06,100,100,6.53,light rain,0.0,0.0
206,Beyneu,KZ,2020-05-09 19:38:21,45.32,55.2,67.12,58,49,12.64,scattered clouds,0.0,0.0
207,Tshane,BW,2020-05-09 19:43:12,-24.02,21.87,65.43,34,0,5.79,clear sky,0.0,0.0
208,Zhanaozen,KZ,2020-05-09 19:43:13,43.3,52.8,63.93,62,53,14.74,broken clouds,0.0,0.0
209,Walvis Bay,NA,2020-05-09 19:43:13,-22.96,14.51,74.5,36,0,7.16,clear sky,0.0,0.0
210,Myitkyina,MM,2020-05-09 19:43:14,25.38,97.4,73.42,55,0,2.33,clear sky,0.0,0.0
211,Pangai,TO,2020-05-09 19:43:14,-19.8,-174.35,80.73,82,95,8.16,moderate rain,0.0,0.0
